CLUSTER_ID,user_address,block_time,date_time_part,source_chain_name,source_bridge_contract,destination_chain_name,destination_bridge_contract,currency_symbol,amount_original,total_times,asset_value_from_debank,total_usd_value,active_source_chain_count,active_destination_chain_count,active_transaction_contract_count,active_days_count,active_weeks_count,active_months_count,last_block_time,last_tx_source_chain_name,last_tx_source_bridge_contract,last_tx_destination_chain_name,last_tx_destination_bridge_contract,last_tx_currency_symbol,last_tx_amount_original
2,0x3dc943837396bd793cc672bb9c69ffd380e7de50,2022-11-14 17:34:41.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,67,2251,16962.47,8,17,20,30,13,9,2024-04-04 21:08:40.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xa376c77aefd364c9daf96df746bd4f5c659d67ef,2022-11-14 17:35:03.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,64,2256,15486.66,8,17,19,29,13,9,2024-04-04 20:14:17.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xf237f4a8fc7b87b1b83062fd8a11519f1c84a34a,2022-11-14 17:35:29.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,64,2264,15963.95,8,17,20,29,13,9,2024-04-04 21:07:28.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xc336113593b692842d8757dd7105763b3848ce7b,2022-11-14 17:35:57.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,68,1877,17902.68,8,17,20,30,13,9,2024-04-04 20:32:29.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x0b8cca60c4c6ec43848303c28d6c7efe71b9fcfb,2022-11-14 17:36:21.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,64,1874,15970.02,8,18,19,29,13,9,2024-04-04 19:26:20.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x6937c06bd9406fda41a9ecdebeb5d06e9f65946b,2022-11-14 17:36:44.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,66,1878,16468.7,8,17,20,28,13,9,2024-04-04 21:46:13.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x0ba770d00ce7fe0bffb9f36f37cd6410933f6010,2022-11-14 17:37:09.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,63,1883,15471.57,8,17,20,29,13,9,2024-04-04 22:09:37.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x14b6a5f161dafafcb2f65e322ec81f17c881ba6d,2022-11-14 17:37:37.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,63,1879,15484.58,8,18,20,29,13,9,2024-04-04 19:32:05.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x78c45ac3824cd1be6718b7f79302097cf3852952,2022-11-14 17:38:07.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,62,1888,14972.42,8,17,19,27,13,9,2024-04-04 19:38:14.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xfaade89feb40ace07676aefecec6f1713ba49d94,2022-11-14 17:38:34.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,65,1875,16469.75,8,17,20,30,13,9,2024-04-04 19:11:29.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
